date,Adj Close,volume
2020-12-17,46.0,130003721.0
2020-12-16,44.67,120109589.0
2020-12-15,43.5,132336854.0
2020-12-14,40.98,171598161.0
2020-12-11,41.98,147076119.0
2020-12-10,45.22,107376836.0
2020-12-09,44.01,121387875.0
2020-12-08,46.56,115799572.0
2020-12-07,45.11,165048508.0
2020-12-04,43.04,191969939.0
2020-12-03,45.35,173424045.0
2020-12-02,47.98,313028276.0
2020-12-01,45.36,243690229.0
2020-11-30,50.53,179765439.0
2020-11-27,54.0,105795118.0
2020-11-25,53.69,204508537.0
2020-11-24,53.51,241851916.0
2020-11-23,55.38,270203004.0
2020-11-20,49.25,209106333.0
2020-11-19,48.45,233779148.0
2020-11-18,45.06,271678314.0
2020-11-17,46.59,345578529.0
2020-11-16,45.58,306209088.0
2020-11-13,44.56,579069870.0
2020-11-12,48.3,348326322.0
2020-11-11,43.08,179581150.0
2020-11-10,41.55,237403589.0
2020-11-09,44.02,218733282.0
2020-11-06,41.63,288784336.0
2020-11-05,42.35,302472617.0
2020-11-04,37.71,339385872.0
2020-11-03,35.5,217608105.0
2020-11-02,33.32,265719877.0
2020-10-30,30.58,136902610.0
2020-10-29,31.99,214034656.0
2020-10-28,27.51,89374938.0
2020-10-27,28.44,104257726.0
2020-10-26,26.01,72610347.0
2020-10-23,27.16,51784048.0
2020-10-22,27.38,72173307.0
2020-10-21,27.86,65357930.0
2020-10-20,27.96,105233416.0
2020-10-19,27.63,115708710.0
2020-10-16,28.48,186764680.0
2020-10-15,28.07,385210596.0
2020-10-14,26.5,387903255.0
2020-10-13,21.62,42581464.0
2020-10-12,21.85,45476830.0
2020-10-09,21.47,37328968.0
2020-10-08,21.44,77719581.0
2020-10-07,21.56,59354282.0
2020-10-06,20.67,73217119.0
2020-10-05,21.59,60860112.0
2020-10-02,21.18,92713560.0
2020-10-01,21.76,79117101.0
2020-09-30,21.22,183530455.0
2020-09-29,20.85,164378538.0
2020-09-28,18.81,42786232.0
2020-09-25,18.32,44122149.0
2020-09-24,17.85,71069510.0
2020-09-23,17.96,70568089.0
2020-09-22,19.23,61061116.0
2020-09-21,18.81,75969546.0
2020-09-18,19.41,54885511.0
2020-09-17,19.3,55186587.0
2020-09-16,19.01,57845793.0
2020-09-15,19.19,111630535.0
2020-09-14,18.73,68234902.0
2020-09-11,17.97,55373486.0
2020-09-10,17.74,79679834.0
2020-09-09,18.09,90988423.0
2020-09-08,17.03,89624571.0
2020-09-04,17.98,163329780.0
2020-09-03,18.7,128358422.0
2020-09-02,19.9,153460601.0
2020-09-01,20.12,137644836.0
2020-08-31,19.03,226610901.0
2020-08-28,18.5,155242283.0
2020-08-27,19.88,199850277.0
2020-08-26,20.44,364104643.0
2020-08-25,17.84,299047816.0
2020-08-24,14.97,98697703.0
2020-08-21,14.12,70189908.0
2020-08-20,13.78,50072785.0
2020-08-19,14.06,41966837.0
2020-08-18,14.3,69962360.0
2020-08-17,14.05,77497916.0
2020-08-14,13.1,63250748.0
2020-08-13,13.36,50093545.0
2020-08-12,13.36,77471427.0
2020-08-11,12.99,181311514.0
2020-08-10,14.21,84267291.0
2020-08-07,13.42,57745964.0
2020-08-06,13.84,49787709.0
2020-08-05,13.92,60375033.0
2020-08-04,13.64,125731370.0
2020-08-03,13.6,122925296.0
2020-07-31,11.94,61813807.0
2020-07-30,12.2,64952913.0
2020-07-29,12.7,69552555.0
2020-07-28,12.27,90075812.0
2020-07-27,11.69,64068520.0
2020-07-24,11.82,93425298.0
2020-07-23,12.15,95206301.0
2020-07-22,12.38,112260489.0
2020-07-21,12.88,128042801.0
2020-07-20,12.82,154596601.0
2020-07-17,11.09,289514200.0
2020-07-16,12.94,134084800.0
2020-07-15,13.52,114166800.0
2020-07-14,14.09,195253600.0
2020-07-13,13.84,310058200.0
2020-07-10,14.98,317735400.0
2020-07-09,14.57,314527300.0
2020-07-08,12.88,568960800.0
2020-07-07,13.22,442681000.0
2020-07-06,11.51,325679000.0
2020-07-02,9.38,219628700.0
2020-07-01,7.91,64427000.0
2020-06-30,7.72,84229500.0
2020-06-29,7.23,45876100.0
2020-06-26,6.9,33453587.0
2020-06-25,7.08,46442109.0
2020-06-24,6.86,103575859.0
2020-06-23,7.23,79627842.0
2020-06-22,7.43,112647898.0
2020-06-19,7.34,84037079.0
2020-06-18,7.18,78503216.0
2020-06-17,6.84,58838533.0
2020-06-16,6.99,130245602.0
2020-06-15,6.83,113172449.0
2020-06-12,6.1,59687107.0
2020-06-11,5.91,126114178.0
2020-06-10,6.3,99921419.0
2020-06-09,6.68,135060628.0
2020-06-08,5.97,85523884.0
2020-06-05,5.59,90517235.0
2020-06-04,5.97,172617852.0
2020-06-03,5.6,198303797.0
2020-06-02,4.7,81717678.0
2020-06-01,4.26,68951059.0
2020-05-29,3.98,50301733.0
2020-05-28,3.83,62756668.0
2020-05-27,4.17,70224324.0
2020-05-26,3.82,59622624.0
2020-05-22,3.27,22798211.0
2020-05-21,3.33,41491886.0
2020-05-20,3.48,51576759.0
2020-05-19,3.69,21654002.0
2020-05-18,3.61,27771320.0
2020-05-15,3.37,13618530.0
2020-05-14,3.45,20891466.0
2020-05-13,3.44,33945576.0
2020-05-12,3.62,21720746.0
2020-05-11,3.74,16542095.0
2020-05-08,3.77,27705410.0
2020-05-07,3.63,26666125.0
2020-05-06,3.62,54209579.0
2020-05-05,3.28,22283744.0
2020-05-04,3.34,23323294.0
2020-05-01,3.18,31175024.0
2020-04-30,3.41,44389437.0
2020-04-29,3.61,88971412.0
2020-04-28,3.34,36164871.0
2020-04-27,3.24,35576753.0
2020-04-24,2.94,22069667.0
2020-04-23,3.06,17372610.0
2020-04-22,3.09,14493983.0
2020-04-21,3.02,19758338.0
2020-04-20,3.19,18635947.0
2020-04-17,3.21,22827576.0
2020-04-16,3.25,37409994.0
2020-04-15,3.2,27425283.0
2020-04-14,3.01,36367067.0
2020-04-13,2.97,38232188.0
2020-04-09,2.67,32671119.0
2020-04-08,2.74,18225435.0
2020-04-07,2.7,46032394.0
2020-04-06,2.47,34819869.0
2020-04-03,2.4,19404652.0
2020-04-02,2.39,58748936.0
2020-04-01,2.65,17058829.0
2020-03-31,2.78,30216094.0
2020-03-30,2.71,20065723.0
2020-03-27,2.84,25045452.0
2020-03-26,2.93,43577079.0
2020-03-25,2.76,56486349.0
2020-03-24,2.6,64569680.0
2020-03-23,2.37,47296888.0
2020-03-20,2.4,50454804.0
2020-03-19,2.38,35441298.0
2020-03-18,2.43,94183702.0
2020-03-17,2.9,34718996.0
2020-03-16,2.94,41179891.0
2020-03-13,3.11,41674686.0
2020-03-12,3.13,52216838.0
2020-03-11,3.32,31094208.0
2020-03-10,3.5,34795271.0
2020-03-09,3.29,55002061.0
2020-03-06,3.55,61159830.0
2020-03-05,3.72,72596718.0
2020-03-04,3.87,49320453.0
2020-03-03,4.06,47501140.0
2020-03-02,4.11,55891795.0
2020-02-28,4.13,63621682.0
2020-02-27,4.14,77412788.0
2020-02-26,4.34,69556928.0
2020-02-25,4.4,205890156.0
2020-02-24,3.88,56025203.0
2020-02-21,4.08,40425711.0
2020-02-20,4.26,86788998.0
2020-02-19,4.08,72970041.0
2020-02-18,3.8,47696828.0
2020-02-14,3.77,69481541.0
2020-02-13,4.03,42234992.0
2020-02-12,4.07,50757706.0
2020-02-11,3.96,54033261.0
2020-02-10,3.87,67035329.0
2020-02-07,3.81,80603454.0
2020-02-06,4.08,75460136.0
2020-02-05,4.39,73554169.0
2020-02-04,4.51,123430967.0
2020-02-03,4.06,73844757.0
2020-01-31,3.78,77698912.0
2020-01-30,4.08,74852748.0
2020-01-29,4.27,53344806.0
2020-01-28,4.21,48746205.0
2020-01-27,4.01,101438582.0
2020-01-24,4.66,65433492.0
2020-01-23,4.92,102385147.0
2020-01-22,4.79,206949568.0
2020-01-21,5.17,181125581.0
2020-01-17,4.67,109385407.0
2020-01-16,4.37,99176742.0
2020-01-15,4.29,234552104.0
2020-01-14,3.76,55193434.0
2020-01-13,3.7,59739857.0
2020-01-10,3.51,35626740.0
2020-01-09,3.46,54632591.0
2020-01-08,3.39,65119460.0
2020-01-07,3.24,106557643.0
2020-01-06,3.68,106602995.0
2020-01-03,3.83,82884373.0
2020-01-02,3.72,103718958.0
2019-12-31,4.02,214992455.0
2019-12-30,3.72,432806553.0
2019-12-27,2.42,37548648.0
2019-12-26,2.51,44171686.0
2019-12-24,2.53,32029806.0
2019-12-23,2.67,28561596.0
2019-12-20,2.69,50968070.0
2019-12-19,2.62,36293311.0
2019-12-18,2.63,31805992.0
2019-12-17,2.59,45643355.0
2019-12-16,2.48,36909770.0
2019-12-13,2.39,37228903.0
2019-12-12,2.27,22404956.0
2019-12-11,2.26,20237112.0
2019-12-10,2.27,25204586.0
2019-12-09,2.22,31533118.0
2019-12-06,2.26,31982082.0
2019-12-05,2.27,53232072.0
2019-12-04,2.42,46850647.0
2019-12-03,2.4,37980466.0
2019-12-02,2.44,33041651.0
2019-11-29,2.27,32640284.0
2019-11-27,2.46,77337254.0
2019-11-26,2.28,55568045.0
2019-11-25,2.05,36894389.0
2019-11-22,1.94,25172977.0
2019-11-21,1.98,41458186.0
2019-11-20,1.84,20751814.0
2019-11-19,1.83,26804316.0
2019-11-18,1.8,26520826.0
2019-11-15,1.8,32240756.0
2019-11-14,1.75,46749927.0
2019-11-13,1.9,25008924.0
2019-11-12,1.94,27759462.0
2019-11-11,1.86,34321715.0
2019-11-08,1.98,38391160.0
2019-11-07,2.07,39506481.0
2019-11-06,2.03,114081935.0
2019-11-05,2.34,184185674.0
2019-11-04,1.71,61155341.0
2019-11-01,1.52,18017781.0
2019-10-31,1.45,22389506.0
2019-10-30,1.43,20823436.0
2019-10-29,1.39,22357503.0
2019-10-28,1.48,32720842.0
2019-10-25,1.51,20526780.0
2019-10-24,1.54,21601622.0
2019-10-23,1.53,12568506.0
2019-10-22,1.58,38989308.0
2019-10-21,1.69,40231114.0
2019-10-18,1.52,21479209.0
2019-10-17,1.46,18378816.0
2019-10-16,1.46,40798170.0
2019-10-15,1.55,27656939.0
2019-10-14,1.53,12585175.0
2019-10-11,1.56,25699823.0
2019-10-10,1.53,34019512.0
2019-10-09,1.64,35871977.0
2019-10-08,1.7,47176959.0
2019-10-07,1.55,26917362.0
2019-10-04,1.62,25295757.0
2019-10-03,1.64,58694851.0
2019-10-02,1.59,99214125.0
2019-10-01,1.32,88209364.0
2019-09-30,1.56,58923884.0
2019-09-27,1.75,59929003.0
2019-09-26,1.96,52810684.0
2019-09-25,2.05,39182553.0
2019-09-24,2.17,122251852.0
2019-09-23,2.72,40484874.0
2019-09-20,3.04,12039376.0
2019-09-19,3.1,8828965.0
2019-09-18,3.08,12552895.0
2019-09-17,3.18,12919846.0
2019-09-16,3.12,12357430.0
2019-09-13,3.21,8363279.0
2019-09-12,3.19,10951137.0
2019-09-11,3.27,13572159.0
2019-09-10,3.32,20838783.0
2019-09-09,3.14,17376124.0
2019-09-06,2.98,14504500.0
2019-09-05,2.95,23254647.0
2019-09-04,2.75,15189404.0
2019-09-03,2.6,26869654.0
2019-08-30,2.86,8161092.0
2019-08-29,2.85,12377439.0
2019-08-28,2.84,10485142.0
2019-08-27,2.91,20416708.0
2019-08-26,2.9,14138291.0
2019-08-23,2.92,13649638.0
2019-08-22,3.02,12427830.0
2019-08-21,3.05,21524358.0
2019-08-20,3.16,16703065.0
2019-08-19,3.0,13657084.0
2019-08-16,2.95,15884219.0
2019-08-15,2.82,15735986.0
2019-08-14,2.9,28205946.0
2019-08-13,3.15,18607576.0
2019-08-12,3.05,16731340.0
2019-08-09,3.13,10609998.0
2019-08-08,3.17,20999758.0
2019-08-07,3.09,18090390.0
2019-08-06,3.08,23455749.0
2019-08-05,2.95,38736177.0
2019-08-02,3.27,17211310.0
2019-08-01,3.28,28758382.0
2019-07-31,3.47,19917224.0
2019-07-30,3.38,14127899.0
2019-07-29,3.46,25890697.0
2019-07-26,3.51,15606285.0
2019-07-25,3.5,26513325.0
2019-07-24,3.67,38844783.0
2019-07-23,3.46,12462047.0
2019-07-22,3.38,12376944.0
2019-07-19,3.37,13784331.0
2019-07-18,3.43,17652624.0
2019-07-17,3.44,26704968.0
2019-07-16,3.3,25764637.0
2019-07-15,3.39,19833129.0
2019-07-12,3.45,39432181.0
2019-07-11,3.42,57070344.0
2019-07-10,3.68,85126060.0
2019-07-09,3.69,87406073.0
2019-07-08,3.49,40423954.0
2019-07-05,3.26,35914642.0
2019-07-03,3.13,75342426.0
2019-07-02,2.82,35317275.0
2019-07-01,2.6,19541552.0
2019-06-28,2.55,17640326.0
2019-06-27,2.6,27685620.0
2019-06-26,2.55,20679334.0
2019-06-25,2.6,16289847.0
